SCHOOL_ID,YEAR,COUNTY,SCHOOL_NAME,SCHOOL_TYPE,GRADE,FRL_PERCENT,FRL_COUNT,ENROLLED,TOTAL_STUDENTS,DISTRICT_ID,DIST_KEY,CHRONIC_ABSENT_RATE
10018001,2018-19,ADAMS,HASTINGS SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,09-12,0.5435,568,1045,1045,10018001,10018,0.128
10018002,2018-19,ADAMS,HASTINGS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,06-08,0.6294,479,761,761,10018002,10018,0.128
10018003,2018-19,ADAMS,ALCOTT ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,0.7436,261,351,351,10018003,10018,0.128
10018004,2018-19,ADAMS,HAWTHORNE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,0.5,199,398,398,10018004,10018,0.128
10018005,2018-19,ADAMS,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,0.9085,298,328,328,10018005,10018,0.128
10018006,2018-19,ADAMS,LONGFELLOW ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,0.6173,200,324,324,10018006,10018,0.128
10018008,2018-19,ADAMS,RAYMOND A WATSON ELEM SCHOOL,ELEMENTARY                    ,K -05,0.5385,217,403,403,10018008,10018,0.128
10090001,2018-19,ADAMS,ADAMS CENTRAL JR-SR HIGH SCH,SECONDARY                     ,07-12,0.2146,97,452,452,10090001,10090,0.0562
10090007,2018-19,ADAMS,ADAMS CENTRAL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,0.25,114,456,456,10090007,10090,0.0562
10090008,2018-19,ADAMS,ADAMS CENTRAL EARLY CHILDHOOD CENTER,PREK ONLY                     ,PK-PK,0.1753,17,97,97,10090008,10090,0.0562
10123001,2018-19,ADAMS,SILVER LAKE HIGH SCHOOL,SECONDARY                     ,07-12,0.4409,41,93,93,10123001,10123,0.0521
10123002,2018-19,ADAMS,SILVER LAKE ELEM SCH-BLADEN,ELEMENTARY                    ,PK-06,0.474,73,154,154,10123002,10123,0.0521
20009001,2018-19,ANTELOPE,NELIGH-OAKDALE HIGH SCHOOL,SECONDARY                     ,07-12,0.4063,65,160,160,20009001,20009,0.0833
20009004,2018-19,ANTELOPE,WESTWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-02,0.3667,44,120,120,20009004,20009,0.0833
20009005,2018-19,ANTELOPE,EASTWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,03-06,0.56,56,100,100,20009005,20009,0.0833
20018001,2018-19,ANTELOPE,ELGIN HIGH SCHOOL,SECONDARY                     ,07-12,0.4706,24,51,51,20018001,20018,0.087
20018002,2018-19,ANTELOPE,ELGIN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,0.4153,49,118,118,20018002,20018,0.087
22001001,2018-19,ANTELOPE,CLEARWATER HIGH SCHOOL,SECONDARY                     ,07-12,0.4143,29,70,70,22001001,22001,0.0456
22001002,2018-19,ANTELOPE,CLEARWATER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,0.4368,38,87,87,22001002,22001,0.0456
22001003,2018-19,ANTELOPE,ORCHARD HIGH SCHOOL,SECONDARY                     ,07-12,0.5,25,50,50,22001003,22001,0.0456
